序号,景区ID,景区名称 (中文),英文名称 (English),所属国家,地理位置 / 省市,景观分类,景区意境与人文描述,核心特色标签,推荐BPM,音乐调式/律动,核心配器音色,自然声场采样,AI音乐生成提示词 (中文关键词 · Suno/Udio/即梦),AI Music Prompt (English · Suno/Udio/MusicFX),Midjourney / 画面视觉生成提示词 (Visual Prompt)
1,wuzhen,乌镇水乡,Wuzhen Water Town,中国,中国 · 浙江嘉兴,古镇水乡 / 历史村落,青石板巷，摇橹船桨划破一池春水。白墙黛瓦掩映在江南烟雨之中，廊棚之下，听雨落乌篷，时光在此慢了下来。,小桥流水、烟雨江南、乌篷船、治愈慢生活,68,五声羽调 · 432Hz,古筝 · 竹笛 · 细雨滴檐 · 摇橹声,烟雨滴檐 / 细雨淅淅,国风、古筝、竹笛、轻柔舒缓、BPM68、烟雨治愈、无歌词纯器乐、水流滴答、BPM 68、五声羽调 · 432Hz、烟雨滴檐 / 细雨淅淅、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 68 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Wuzhen Water Town (乌镇水乡), 中国 · 浙江嘉兴, breathtaking view, 小桥流水, 烟雨江南, 乌篷船, 治愈慢生活, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
2,zhouzhuang,周庄古镇,Zhouzhuang Ancient Town,中国,中国 · 江苏苏州,古镇水乡 / 历史村落,君到姑苏见，人家尽枕河。双桥横跨流水，夜幕低垂时分，红灯笼映红了水巷波光，琴音悠扬拂过心弦。,水乡泽国、双桥夜色、吴侬软语、古桥倒影,72,五声商调 · 姑苏韵,琵琶 · 洞箫 · 柔弦微波,烟雨滴檐 / 细雨淅淅,中国风古典琵琶与箫，轻柔微风，水波荡漾，静谧放松，纯乐器、BPM 72、五声商调 · 姑苏韵、烟雨滴檐 / 细雨淅淅、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 72 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Zhouzhuang Ancient Town (周庄古镇), 中国 · 江苏苏州, breathtaking view, 水乡泽国, 双桥夜色, 吴侬软语, 古桥倒影, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
3,hongcun,宏村古村落,Hongcun Village,中国,中国 · 安徽黄山,古镇水乡 / 历史村落,中国画里的乡村。月沼如镜倒映徽派马头墙，晨雾轻笼南湖，水圳穿街过巷，宛若一幅淡雅的水墨长卷。,水墨徽州、月沼倒影、马头墙、东方美学,65,五声宫调 · 墨意,古琴 · 埙 · 水流与远山清钟,古刹钟声 / 远山清钟,徽州水墨意境、古琴独奏、埙、沉浸空灵、清晨雾气、深沉治愈、BPM 65、五声宫调 · 墨意、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 65 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Hongcun Village (宏村古村落), 中国 · 安徽黄山, breathtaking view, 水墨徽州, 月沼倒影, 马头墙, 东方美学, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
4,fenghuang,凤凰古城,Fenghuang Ancient Town,中国,中国 · 湖南湘西,古镇水乡 / 历史村落,沱江两岸吊脚楼巍然伫立，虹桥飞跨碧波之上。薄雾笼罩下的边城，承载着沈从文笔下的湘西浪漫与往事。,沱江泛舟、吊脚楼、边城往事、苗疆风情,70,苗岭调 · 湘西韵,芦笙微鸣 · 木吉他 · 沱江水声,山间清风 / 微风拂过,湘西民谣纯音、木吉他与芦笙、流水潺潺、怀旧治愈、清澈温和、BPM 70、苗岭调 · 湘西韵、山间清风 / 微风拂过、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 70 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Fenghuang Ancient Town (凤凰古城), 中国 · 湖南湘西, breathtaking view, 沱江泛舟, 吊脚楼, 边城往事, 苗疆风情, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
5,lijiang,丽江古城,Old Town of Lijiang,中国,中国 · 云南丽江,古镇水乡 / 历史村落,玉龙雪山脚下的纳西古国，玉河水分三枝穿城而过。沿溪杨柳拂面，四方街茶香四溢，手鼓轻敲慢度悠然韶光。,纳西古乐、玉河柳荫、四方街、慵懒阳光,76,纳西和弦 · 温暖阳光,木吉他 · 手碟 · 葫芦丝 · 流水声,山间清风 / 微风拂过,云南慢调民谣、手碟与木吉他、葫芦丝、慵懒下午茶、阳光治愈、BPM 76、纳西和弦 · 温暖阳光、山间清风 / 微风拂过、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 76 BPM, soft breeze, mountain wind ambience, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Old Town of Lijiang (丽江古城), 中国 · 云南丽江, breathtaking view, 纳西古乐, 玉河柳荫, 四方街, 慵懒阳光, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
6,nanxun,南浔古镇 · 辑里丝香,Nanxun Ancient Town,中国,中国 · 浙江湖州,古镇水乡 / 历史村落,百间楼依河而筑，江南水乡与西洋折衷建筑奇妙融合。清晨阿婆在石桥边浣洗，橹声唉乃穿过小桥，静谧清雅。,百间楼、中西合璧、丝绸古镇、清雅脱俗,66,江南丝竹调,二胡 · 琵琶 · 潺潺流水 · 丝竹合奏,烟雨滴檐 / 细雨淅淅,江南丝竹古乐、琵琶与二胡轻拂、小桥流水人家、清雅闲适、BPM 66、江南丝竹调、烟雨滴檐 / 细雨淅淅、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 66 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Nanxun Ancient Town (南浔古镇 · 辑里丝香), 中国 · 浙江湖州, breathtaking view, 百间楼, 中西合璧, 丝绸古镇, 清雅脱俗, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
7,xitang,西塘古镇 · 烟雨长廊,Xitang Water Town,中国,中国 · 浙江嘉善,古镇水乡 / 历史村落,千米烟雨长廊遮风挡雨，弄堂深处传来江南小调。薄雾升起，河灯随波逐流，载着对远方的静谧祝愿。,烟雨长廊、石皮弄、送子来凤桥、悠然江南,68,五声角调 · 烟波浩渺,竹笛 · 古筝轻捻 · 细雨润物,烟雨滴檐 / 细雨淅淅,西塘烟雨长廊古风纯音、古筝与竹笛、细雨霏霏、水波荡漾、静心、BPM 68、五声角调 · 烟波浩渺、烟雨滴檐 / 细雨淅淅、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 68 BPM, gentle rain ambience, raindrops on roof, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Xitang Water Town (西塘古镇 · 烟雨长廊), 中国 · 浙江嘉善, breathtaking view, 烟雨长廊, 石皮弄, 送子来凤桥, 悠然江南, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
8,wuyuan,婺源篁岭 · 晒秋梯田,Wuyuan Huangling Village,中国,中国 · 江西上饶,古镇水乡 / 历史村落,挂在山崖上的徽州古村。每逢秋收，红辣椒与金色玉米晾晒在竹匾之中，与粉墙黛瓦、金黄梯田交织成浓烈的丰收田园诗。,最美乡村、梯田花海、徽派晒秋、山野田园,72,田园五声调 · 暖阳,木吉他指弹 · 竹笛清音 · 鸟鸣山幽,晨曦鸟鸣 / 空山鸟语,乡村民谣纯器乐、木吉他与清脆笛声、田园风光、丰收阳光、治愈、BPM 72、田园五声调 · 暖阳、晨曦鸟鸣 / 空山鸟语、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 72 BPM, morning bird singing, forest birds chirp, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Wuyuan Huangling Village (婺源篁岭 · 晒秋梯田), 中国 · 江西上饶, breathtaking view, 最美乡村, 梯田花海, 徽派晒秋, 山野田园, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
9,pingyao,平遥古城 · 晋商岁月,Pingyao Ancient City,中国,中国 · 山西晋中,古镇水乡 / 历史村落,保存最为完好的明清汉民族古城。高耸雄伟的古城墙、鳞次栉比的票号镖局，青砖灰瓦见证着数百年前晋商汇通天下的辉煌岁月。,明清古城、晋商故里、古城墙、厚重历史,64,北方宫商调 · 沧桑宏阔,古琴 · 编钟泛音 · 城楼长风,古刹钟声 / 远山清钟,北方古城历史感纯乐、古琴与编钟微音、厚重沧桑、古道悠悠、BPM 64、北方宫商调 · 沧桑宏阔、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 64 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Pingyao Ancient City (平遥古城 · 晋商岁月), 中国 · 山西晋中, breathtaking view, 明清古城, 晋商故里, 古城墙, 厚重历史, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
10,kyoto,京都 · 二年坂与清水寺,Kyoto Ninenzaka & Kiyomizu,日本,日本 · 京都府,古镇水乡 / 历史村落,青石阶梯两侧林立着百年町屋木阁，八坂之塔静静矗立在黄昏晚霞中。僧侣晚钟回荡在山峦枫林间，时间在禅意中缓缓驻足。,京都禅韵、八坂之塔、町屋古道、风雅晚钟,60,日式雅乐调 · 432Hz,尺八 · 日本筝 · 晚钟鸣响 · 庭院水竹滴水,古刹钟声 / 远山清钟,京都禅意古典纯乐、尺八与日本筝、寺庙晚钟、竹水滴水、静心专注、BPM 60、日式雅乐调 · 432Hz、古刹钟声 / 远山清钟、高清无损立体声,"traditional oriental acoustic folk, guzheng, bamboo flute, acoustic guitar, peaceful water town vibe, relaxing, serene, instrumental, no vocals, 60 BPM, distant temple bell toll, meditation chime, pristine spatial reverb, emotional, cinematic travel vlog background music","Cinematic photography of Kyoto Ninenzaka & Kiyomizu (京都 · 二年坂与清水寺), 日本 · 京都府, breathtaking view, 京都禅韵, 八坂之塔, 町屋古道, 风雅晚钟, golden hour lighting, atmospheric perspective, 8k resolution, photorealistic, masterpiece, depth of field"
